Date,AAPL,GOOG
2016-08-18,109.08000200000001,777.5
2016-08-19,109.360001,775.419983
2016-08-22,108.510002,772.150024
2016-08-23,108.849998,772.080017
2016-08-24,108.029999,769.6400150000001
2016-08-25,107.57,769.409973
2016-08-26,106.940002,769.539978
2016-08-29,106.82,772.150024
2016-08-30,106.0,769.090027
2016-08-31,106.099998,767.049988
2016-09-01,106.730003,768.780029
2016-09-02,107.730003,771.460022
2016-09-06,107.699997,780.080017
2016-09-07,108.360001,780.349976
2016-09-08,105.519997,775.320007
2016-09-09,103.129997,759.659973
2016-09-12,105.440002,769.02002
2016-09-13,107.949997,759.6900019999999
2016-09-14,111.769997,762.48999
2016-09-15,115.57,771.76001
2016-09-16,114.91999799999999,768.880005
2016-09-19,113.58000200000001,765.700012
2016-09-20,113.57,771.409973
2016-09-21,113.550003,776.219971
2016-09-22,114.620003,787.210022
2016-09-23,112.709999,786.900024
2016-09-26,112.879997,774.210022
2016-09-27,113.089996,783.01001
2016-09-28,113.949997,781.5599980000001
2016-09-29,112.18,775.01001
2016-09-30,113.050003,777.289978
2016-10-03,112.519997,772.5599980000001
2016-10-04,113.0,776.429993
2016-10-05,113.050003,776.469971
2016-10-06,113.889999,776.8599849999999
2016-10-07,114.059998,775.080017
2016-10-10,116.050003,785.9400019999999
2016-10-11,116.300003,783.070007
2016-10-12,117.339996,786.1400150000001
2016-10-13,116.980003,778.1900019999999
2016-10-14,117.629997,778.530029
2016-10-17,117.550003,779.960022
2016-10-18,117.470001,795.26001
2016-10-19,117.120003,801.5
2016-10-20,117.059998,796.969971
2016-10-21,116.599998,799.369995
2016-10-24,117.650002,813.1099849999999
2016-10-25,118.25,807.669983
2016-10-26,115.589996,799.070007
2016-10-27,114.480003,795.349976
2016-10-28,113.720001,795.369995
2016-10-31,113.540001,784.539978
2016-11-01,111.489998,783.6099849999999
2016-11-02,111.589996,768.700012
2016-11-03,109.83000200000001,762.130005
2016-11-04,108.839996,762.02002
2016-11-07,110.410004,782.52002
2016-11-08,111.059998,790.51001
2016-11-09,110.879997,785.3099980000001
2016-11-10,107.790001,762.5599980000001
2016-11-11,108.43,754.02002
2016-11-14,105.709999,736.080017
2016-11-15,107.110001,758.48999
2016-11-16,109.989998,764.47998
2016-11-17,109.949997,771.22998
2016-11-18,110.059998,760.539978
2016-11-21,111.730003,769.200012
2016-11-22,111.800003,768.27002
2016-11-23,111.230003,760.98999
2016-11-25,111.790001,761.679993
2016-11-28,111.57,768.23999
2016-11-29,111.459999,770.840027
2016-11-30,110.519997,758.039978
2016-12-01,109.489998,747.919983
